run_name,ratios,factors,nw_thesis,nw_proposed,reduction,multi_depth,n_weight_types,same_tree_mult,cross_tree_mult,improved,status_thesis,status_proposed
run_86,"[23, 16, 33];[2, 67, 3]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_87,"[6, 1, 65];[38, 33, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",7,7,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_88,"[37, 24, 11];[57, 5, 10]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_89,"[7, 26, 39];[15, 47, 10]","[4, 3, 3, 2];[4, 3, 3, 2]",2,3,-1,0,2,5,4,0,OPTIMAL,FEASIBLE
run_90,"[10, 53, 9];[7, 13, 52]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_91,"[11, 21, 40];[29, 38, 5]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_92,"[40, 15, 17];[8, 5, 59]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_93,"[11, 23, 38];[21, 10, 41]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_94,"[1, 20, 51];[53, 5, 14]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_95,"[5, 25, 42];[37, 22, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_96,"[15, 40, 17];[29, 41, 2]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_97,"[10, 9, 53];[37, 3, 32]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_98,"[35, 17, 20];[65, 5, 2]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,OPTIMAL
run_99,"[6, 5, 61];[4, 29, 39]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_100,"[3, 32, 37];[6, 17, 49]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
